SubjectID,StimulusType,response,RT
9013,1,1,410
9013,1,1,364
9013,1,1,349
9013,1,1,346
9013,1,1,313
9013,1,1,349
9013,0,0,0
9013,1,1,379
9013,0,0,0
9013,1,1,414
9013,0,0,0
9013,0,1,283
9013,1,1,760
9013,1,1,413
9013,1,1,396
9013,1,1,332
9013,1,1,365
9013,1,1,397
9013,1,1,364
9013,1,1,345
9013,1,1,347
9013,1,1,382
9013,1,1,364
9013,1,1,348
9013,1,1,396
9013,1,1,362
9013,1,1,365
9013,1,1,347
9013,1,1,265
9013,0,0,0
9013,1,1,381
9013,0,0,0
9013,1,1,460
9013,1,1,395
9013,1,1,396
9013,0,0,0
9013,1,1,133
9013,1,1,367
9013,1,1,364
9013,1,1,397
9013,1,1,379
9013,1,1,330
9013,1,1,331
9013,1,1,315
9013,1,1,362
9013,1,1,315
9013,1,1,362
9013,0,0,0
9013,0,0,0
9013,1,1,364
9013,0,0,0
9013,1,1,363
9013,1,1,562
9013,1,1,346
9013,1,1,347
9013,1,1,348
9013,1,1,282
9013,1,1,348
9013,1,1,297
9013,1,1,347
9013,1,1,345
9013,1,1,348
9013,1,1,379
9013,1,1,366
9013,0,0,0
9013,1,1,397
9013,1,1,366
9013,0,0,0
9013,1,1,397
9013,1,1,314
9013,1,1,396
9013,1,1,298
9013,1,1,282
9013,1,1,347
9013,0,0,0
9013,1,1,315
9013,1,1,330
9013,1,1,264
9013,0,0,0
9013,1,1,182
9013,1,1,230
9013,0,1,215
9013,0,1,199
9013,0,0,0
9013,0,0,0
9013,1,1,397
9013,1,1,395
9013,1,1,263
9013,1,1,299
9013,1,1,299
9013,1,1,398
9013,0,0,0
9013,1,1,416
9013,1,1,164
9013,1,1,315
9013,1,1,282
9013,1,1,298
9013,0,0,0
9013,1,1,299
9013,1,1,300
