SubjectID,StimulusType,response,RT
8004,1,1,322
8004,1,1,320
8004,1,1,323
8004,1,1,272
8004,0,0,0
8004,1,1,320
8004,0,0,0
8004,0,0,0
8004,1,1,337
8004,1,1,374
8004,1,1,390
8004,1,1,336
8004,1,1,370
8004,1,1,423
8004,0,0,0
8004,1,1,320
8004,0,0,0
8004,1,1,353
8004,1,1,422
8004,1,1,355
8004,1,1,387
8004,1,1,403
8004,1,1,338
8004,0,0,0
8004,1,1,338
8004,1,1,354
8004,1,1,354
8004,0,0,0
8004,1,1,338
8004,1,1,441
8004,1,1,337
8004,1,1,357
8004,1,1,372
8004,1,1,370
8004,1,1,372
8004,0,0,0
8004,1,1,320
8004,1,1,322
8004,1,1,321
8004,1,1,285
8004,1,1,338
8004,1,1,319
8004,1,1,337
8004,1,1,339
8004,1,1,288
8004,0,0,0
8004,1,1,320
8004,0,0,0
8004,1,1,322
8004,1,0,0
8004,1,1,337
8004,1,1,353
8004,1,1,354
8004,1,1,305
8004,1,1,290
8004,1,1,304
8004,1,1,321
8004,0,0,0
8004,1,1,337
8004,1,1,371
8004,1,1,355
8004,1,1,321
8004,1,1,321
8004,1,1,318
8004,0,0,0
8004,1,1,356
8004,1,1,306
8004,0,0,0
8004,1,1,305
8004,1,1,305
8004,1,1,305
8004,1,1,288
8004,1,1,304
8004,0,1,304
8004,1,1,370
8004,1,1,352
8004,1,1,337
8004,1,1,390
8004,1,1,321
8004,1,1,338
8004,1,1,404
8004,1,1,352
8004,1,1,337
8004,1,1,370
8004,1,1,388
8004,1,1,355
8004,0,1,339
8004,1,1,339
8004,0,0,0
8004,0,0,0
8004,1,1,354
8004,1,1,390
8004,1,1,373
8004,0,0,0
8004,0,0,0
8004,0,0,0
8004,1,1,436
8004,1,1,321
8004,1,1,355
8004,1,1,370
