SubjectID,StimulusType,response,RT
SubjectSimon02,1,1,314
SubjectSimon02,1,1,297
SubjectSimon02,0,0,0
SubjectSimon02,1,1,280
SubjectSimon02,0,0,0
SubjectSimon02,1,1,264
SubjectSimon02,1,1,431
SubjectSimon02,1,1,330
SubjectSimon02,1,1,295
SubjectSimon02,0,0,0
SubjectSimon02,1,1,281
SubjectSimon02,1,1,316
SubjectSimon02,1,1,313
SubjectSimon02,0,0,0
SubjectSimon02,1,1,281
SubjectSimon02,1,1,296
SubjectSimon02,1,1,297
SubjectSimon02,0,0,0
SubjectSimon02,1,1,282
SubjectSimon02,1,1,250
SubjectSimon02,1,1,280
SubjectSimon02,0,0,0
SubjectSimon02,1,1,263
SubjectSimon02,1,1,199
SubjectSimon02,1,1,198
SubjectSimon02,0,0,0
SubjectSimon02,1,1,231
SubjectSimon02,0,1,83
SubjectSimon02,0,1,280
SubjectSimon02,1,1,297
SubjectSimon02,1,1,430
SubjectSimon02,1,1,312
SubjectSimon02,1,1,330
SubjectSimon02,1,1,312
SubjectSimon02,1,1,312
SubjectSimon02,1,1,346
SubjectSimon02,1,1,314
SubjectSimon02,1,1,281
SubjectSimon02,1,1,265
SubjectSimon02,1,1,246
SubjectSimon02,1,1,296
SubjectSimon02,1,1,296
SubjectSimon02,1,1,297
SubjectSimon02,1,1,266
SubjectSimon02,1,1,166
SubjectSimon02,1,1,280
SubjectSimon02,1,1,265
SubjectSimon02,1,1,265
SubjectSimon02,1,1,296
SubjectSimon02,1,1,278
SubjectSimon02,1,1,297
SubjectSimon02,1,1,279
SubjectSimon02,1,1,282
SubjectSimon02,0,1,298
SubjectSimon02,1,1,313
SubjectSimon02,1,1,366
SubjectSimon02,1,1,311
SubjectSimon02,1,1,397
SubjectSimon02,1,1,347
SubjectSimon02,1,1,378
SubjectSimon02,1,1,395
SubjectSimon02,1,1,413
SubjectSimon02,1,1,364
SubjectSimon02,1,1,346
SubjectSimon02,0,0,0
SubjectSimon02,1,1,295
SubjectSimon02,0,0,0
SubjectSimon02,1,1,297
SubjectSimon02,1,1,314
SubjectSimon02,1,1,331
SubjectSimon02,0,0,0
SubjectSimon02,0,0,0
SubjectSimon02,0,0,0
SubjectSimon02,1,1,380
SubjectSimon02,1,1,311
SubjectSimon02,1,1,347
SubjectSimon02,1,1,361
SubjectSimon02,1,1,296
SubjectSimon02,1,1,314
SubjectSimon02,1,1,330
SubjectSimon02,1,1,332
SubjectSimon02,0,0,0
SubjectSimon02,1,1,297
SubjectSimon02,1,1,331
SubjectSimon02,1,1,346
SubjectSimon02,0,0,0
SubjectSimon02,1,1,312
SubjectSimon02,1,1,280
SubjectSimon02,1,1,312
SubjectSimon02,1,1,263
SubjectSimon02,0,0,0
SubjectSimon02,1,1,300
SubjectSimon02,1,1,313
SubjectSimon02,0,0,0
SubjectSimon02,1,1,281
SubjectSimon02,1,1,297
SubjectSimon02,1,1,296
SubjectSimon02,0,0,0
SubjectSimon02,1,1,280
SubjectSimon02,1,1,314
