SubjectID,StimulusType,response,RT
3003,1,1,406
3003,1,1,269
3003,0,0,0
3003,1,1,304
3003,1,1,407
3003,1,1,336
3003,1,1,386
3003,1,1,358
3003,0,0,0
3003,1,1,355
3003,0,0,0
3003,1,1,321
3003,1,1,410
3003,0,0,0
3003,1,1,306
3003,1,1,350
3003,1,1,375
3003,1,1,338
3003,1,1,338
3003,1,1,339
3003,1,1,320
3003,1,1,373
3003,1,1,336
3003,1,1,304
3003,1,1,308
3003,1,1,352
3003,1,1,323
3003,0,1,271
3003,0,0,0
3003,1,1,405
3003,1,1,287
3003,1,1,322
3003,0,0,0
3003,1,1,352
3003,1,1,319
3003,1,1,404
3003,1,1,340
3003,1,1,320
3003,1,1,358
3003,1,1,386
3003,1,1,412
3003,1,1,389
3003,1,1,389
3003,1,1,414
3003,1,1,371
3003,1,1,370
3003,1,1,375
3003,0,0,0
3003,1,1,355
3003,0,0,0
3003,1,1,371
3003,1,1,307
3003,0,0,0
3003,1,1,320
3003,1,1,357
3003,1,1,321
3003,1,1,321
3003,1,1,273
3003,1,1,337
3003,1,1,354
3003,1,1,302
3003,1,1,358
3003,1,1,254
3003,1,1,221
3003,0,0,0
3003,1,1,272
3003,0,0,0
3003,1,1,355
3003,1,1,341
3003,1,1,342
3003,0,0,0
3003,0,0,0
3003,0,0,0
3003,1,1,574
3003,1,1,302
3003,1,1,357
3003,1,1,322
3003,1,1,254
3003,0,1,222
3003,1,1,356
3003,1,1,355
3003,1,1,441
3003,1,1,272
3003,1,1,393
3003,1,1,351
3003,1,1,359
3003,1,1,355
3003,1,1,348
3003,0,0,0
3003,1,1,338
3003,1,1,306
3003,1,1,338
3003,1,1,336
3003,1,1,340
3003,0,0,0
3003,1,1,340
3003,1,1,321
3003,1,1,291
3003,0,0,0
3003,0,0,0
