SubjectID,StimulusType,response,RT
3007,0,0,0
3007,1,1,482
3007,0,0,0
3007,1,1,290
3007,0,0,0
3007,1,1,290
3007,1,1,416
3007,1,1,290
3007,1,1,258
3007,1,1,289
3007,1,1,322
3007,1,1,307
3007,0,0,0
3007,1,1,305
3007,1,1,370
3007,1,1,338
3007,0,0,0
3007,1,1,337
3007,1,1,322
3007,1,1,337
3007,1,1,322
3007,1,1,288
3007,1,1,305
3007,1,1,273
3007,0,0,0
3007,0,0,0
3007,1,1,338
3007,1,1,322
3007,1,1,322
3007,1,1,289
3007,1,1,322
3007,1,1,338
3007,1,1,306
3007,1,1,306
3007,1,1,305
3007,1,0,0
3007,1,1,305
3007,1,1,305
3007,1,1,320
3007,1,1,290
3007,1,1,273
3007,1,1,256
3007,1,1,273
3007,1,1,258
3007,0,0,0
3007,1,0,0
3007,1,1,340
3007,0,0,0
3007,1,1,258
3007,0,0,0
3007,1,1,241
3007,0,0,0
3007,0,0,0
3007,1,1,320
3007,1,1,321
3007,1,1,339
3007,0,0,0
3007,1,1,273
3007,1,1,289
3007,1,1,290
3007,1,1,321
3007,1,1,289
3007,0,0,0
3007,1,1,257
3007,1,0,0
3007,1,1,304
3007,1,1,305
3007,1,1,289
3007,0,0,0
3007,1,1,304
3007,1,1,321
3007,1,1,305
3007,1,1,289
3007,0,0,0
3007,1,1,321
3007,1,1,289
3007,1,1,305
3007,1,1,306
3007,1,1,304
3007,0,0,0
3007,1,1,288
3007,1,1,305
3007,1,1,273
3007,1,1,290
3007,0,1,289
3007,1,1,337
3007,1,1,338
3007,1,1,306
3007,1,1,304
3007,1,1,322
3007,0,0,0
3007,1,1,241
3007,0,0,0
3007,1,1,288
3007,1,1,433
3007,1,1,288
3007,1,1,354
3007,1,1,290
3007,1,1,274
3007,1,1,273
